                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.172,                 4.5107,                  4.335,                0.00224,                0.63462,                0.00442,                0.00149,                  2.989,                 4.3057,                 4.1587,                0.00012,                0.00012,                0.00012
                      2,                 3.5248,                 4.2077,                 4.3093,                0.00221,                0.61538,                0.00625,                0.00213,                 2.9841,                 4.3052,                 4.1554,             0.00024713,             0.00024713,             0.00024713
                      3,                 3.2759,                 4.1418,                 4.2286,                 0.0022,                0.61538,                 0.0049,                0.00164,                 2.9736,                 4.3051,                 4.1495,              0.0003604,              0.0003604,              0.0003604
                      4,                 3.3814,                 4.0776,                 4.2019,                0.00225,                0.63462,                0.00595,                0.00181,                 2.9634,                 4.3092,                 4.1434,             0.00045981,             0.00045981,             0.00045981
                      5,                 3.3005,                 4.1341,                 4.2057,                0.00224,                0.63462,                0.00472,                0.00156,                 2.9611,                 4.3039,                 4.1392,             0.00054536,             0.00054536,             0.00054536
                      6,                 3.2852,                 4.1821,                 4.1307,                0.00224,                0.63462,                0.00488,                0.00154,                 2.9603,                  4.302,                   4.14,             0.00061705,             0.00061705,             0.00061705
                      7,                 3.3429,                 4.4649,                 4.1063,                0.00219,                0.61538,                0.00495,                 0.0015,                 2.9768,                 4.3131,                 4.1558,             0.00067488,             0.00067488,             0.00067488
                      8,                 3.2433,                 3.9504,                 4.0067,                0.00223,                0.63462,                0.00495,                0.00152,                 2.9879,                 4.3069,                 4.1683,             0.00071885,             0.00071885,             0.00071885
                      9,                  3.121,                 3.8839,                 3.9417,                0.00213,                0.59615,                0.00448,                0.00153,                 2.9828,                 4.3067,                 4.1886,             0.00074896,             0.00074896,             0.00074896
                     10,                 3.2202,                 3.8726,                 3.8996,                0.00214,                0.59615,                0.00529,                0.00169,                 3.0034,                  3.727,                 4.2399,             0.00076521,             0.00076521,             0.00076521
                     11,                 2.8674,                 4.4894,                 3.8522,                0.00219,                0.59615,                0.00637,                0.00195,                 3.0871,                  3.708,                 4.3516,              0.0007676,              0.0007676,              0.0007676
                     12,                 2.8446,                 4.5454,                  3.771,                0.00256,                0.55769,                0.00607,                0.00204,                 3.1535,                 3.7328,                 4.4641,             0.00075613,             0.00075613,             0.00075613
                     13,                 2.6559,                 4.3374,                 3.7437,                0.00278,                0.55769,                0.00586,                0.00195,                 3.1692,                  3.725,                 4.4757,              0.0007308,              0.0007308,              0.0007308
                     14,                 2.7286,                 4.2748,                  3.667,                0.00427,                    0.5,                0.00741,                0.00236,                 3.1865,                 3.7396,                 4.4712,             0.00069161,             0.00069161,             0.00069161
                     15,                 2.7153,                 4.3517,                 3.6261,                0.00433,                    0.5,                0.00713,                0.00248,                 3.1934,                 3.7443,                 4.4423,               0.000614,               0.000614,               0.000614
                     16,                   2.82,                 4.2764,                 3.5653,                 0.0049,                0.57692,                0.00765,                0.00269,                 3.1782,                 3.7392,                 4.4102,               0.000515,               0.000515,               0.000515
                     17,                 2.8107,                  4.363,                 3.5801,                0.00426,                0.51923,                 0.0064,                0.00226,                 3.1625,                  3.744,                 4.4004,               0.000416,               0.000416,               0.000416
                     18,                 2.7446,                 4.1483,                 3.5359,                0.00375,                0.59615,                0.02183,                0.00538,                 3.1247,                 3.6959,                 4.3735,               0.000317,               0.000317,               0.000317
                     19,                 2.6266,                 4.2038,                 3.5153,                0.00257,                0.61538,                0.03483,                0.00931,                 3.0805,                 3.6588,                 4.3249,               0.000218,               0.000218,               0.000218
                     20,                 2.9165,                 4.2623,                  3.511,                0.00243,                0.65385,                0.05278,                 0.0126,                 3.0455,                 3.6382,                 4.2768,               0.000119,               0.000119,               0.000119
